Date, Time, Amount, Type, Description
2024-08-30,01:40:53,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-08-16,23:11:37,1100.00,Deposit,eCheck Deposit
2024-08-16,04:06:58,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-08-08,23:38:19,13.91,Deposit,Interest Paid
2024-08-05,18:09:30,-1800.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-08-02,01:36:07,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-07-19,01:42:47,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-07-08,23:49:53,9.81,Deposit,Interest Paid
2024-07-05,01:08:24,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-06-21,02:31:17,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-06-08,23:23:12,13.94,Deposit,Interest Paid
2024-06-07,01:24:41,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-05-31,13:35:13,-1300.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-05-24,02:22:27,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-05-20,07:39:47,-1500.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-05-17,10:52:32,-3700.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-05-10,01:25:15,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-05-08,23:39:59,25.19,Deposit,Interest Paid
2024-04-26,02:32:37,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-04-22,11:50:55,-1600.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-04-12,01:40:43,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-04-08,23:50:36,23.53,Deposit,Interest Paid
2024-04-08,16:45:51,-600.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-03-29,01:39:22,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-03-26,02:00:50,1658.00,Deposit,IRS  TREAS 310 TAX REF~ Future Amount: 1658 ~ Tran: DDIR
2024-03-15,01:48:40,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-03-15,01:01:01,200.00,Deposit,COMM. OF MASS. MASTTAXRFD~ Future Amount: 200 ~ Tran: DDIR
2024-03-09,08:13:23,-700.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-03-08,23:38:02,17.41,Deposit,Interest Paid
2024-03-01,02:26:06,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-02-16,02:24:52,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-02-08,23:37:14,14.22,Deposit,Interest Paid
2024-02-02,01:45:17,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-01-19,02:01:22,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
