Date, Time, Amount, Type, Description
2025-04-11,01:59:43,-2000.00,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 2000 ~ Tran: ACHDW
2025-04-10,16:32:50,-20.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-04-09,16:16:17,3552.36,Deposit,BOSTON CHILDREN' DIR DEP
2025-04-08,23:40:01,0.23,Deposit,Interest Paid
2025-04-07,03:29:35,-35.00,Withdrawal,DISCOVER E-PAYMENT
2025-04-07,03:01:13,-50.00,Withdrawal,BEST BUY AUTO PYMT
2025-04-05,16:43:37,-60.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-04-01,23:15:41,-2000.00,Withdrawal,Check Paid #1084
2025-04-01,21:10:25,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-03-31,05:23:16,-6.38,Withdrawal,Rocket Money Premium
2025-03-28,19:46:32,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-03-28,05:56:29,-100.00,Withdrawal,VENMO PAYMENT
2025-03-28,01:48:10,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-03-27,16:11:38,-25.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-03-26,16:10:31,3552.36,Deposit,BOSTON CHILDREN' DIR DEP
2025-03-26,05:26:08,-2305.57,Withdrawal,CHASE CREDIT CRD EPAY
2025-03-24,18:46:26,-25.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-03-24,01:29:23,-97.53,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 97.53 ~ Tran: ACHDW
2025-03-21,16:06:13,-631.67,Withdrawal,CAPITAL ONE AUTO DIRECTPAY
2025-03-21,04:19:17,-70.00,Withdrawal,VENMO PAYMENT
2025-03-21,03:22:06,-200.00,Withdrawal,HARVARD FCU OLB XFER
2025-03-17,03:54:32,-129.41,Withdrawal,FIDELITY FPRS
2025-03-15,18:35:51,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-03-14,02:21:41,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-03-12,13:06:22,3552.35,Deposit,BOSTON CHILDREN' DIR DEP
2025-03-12,01:03:50,-229.71,Withdrawal,SAFETY INSURANCE INS PREMIU~ Future Amount: 229.71 ~ Tran: ACHDW
2025-03-11,18:02:18,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-03-08,23:22:41,0.20,Deposit,Interest Paid
2025-03-07,03:51:18,-120.00,Withdrawal,VENMO RETRY PYMT
2025-03-06,08:26:10,1500.00,Deposit,Internet transfer from Savings account XXXXXX6299
2025-03-05,23:19:52,-35.00,Withdrawal,DISCOVER E-PAYMENT
2025-03-05,23:19:06,-50.00,Withdrawal,BEST BUY AUTO PYMT
2025-03-05,01:23:00,-1222.29,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 1222.29 ~ Tran: ACHDW
2025-03-05,01:22:54,-847.00,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 847 ~ Tran: ACHDW
2025-03-04,23:19:31,-2000.00,Withdrawal,Check Paid #1070
2025-03-04,12:24:27,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-03-03,18:52:37,-25.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-03-03,07:07:04,-6.38,Withdrawal,Rocket Money Premium
2025-02-28,02:19:40,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-02-27,01:05:21,-303.90,Withdrawal,NGRID06 NGRID06~ Future Amount: 303.9 ~ Tran: ACHDW
2025-02-26,19:39:08,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-02-26,16:16:27,3552.36,Deposit,BOSTON CHILDREN' DIR DEP
2025-02-26,02:09:11,-275.17,Withdrawal,NGRID06 NGRID06~ Future Amount: 275.17 ~ Tran: ACHDW
2025-02-25,15:16:19,-30.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-02-21,16:06:52,-631.67,Withdrawal,CAPITAL ONE AUTO DIRECTPAY
2025-02-21,04:07:06,-50.00,Withdrawal,VENMO PAYMENT
2025-02-21,04:00:18,-200.00,Withdrawal,HARVARD FCU OLB XFER
2025-02-21,01:49:54,-120.92,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 120.92 ~ Tran: ACHDW
2025-02-18,03:31:27,-129.41,Withdrawal,FIDELITY FPRS
2025-02-14,17:24:01,-100.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-02-14,02:18:11,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-02-13,04:14:39,-255.48,Withdrawal,CHASE CREDIT CRD EPAY
2025-02-13,04:14:38,-400.00,Withdrawal,CHASE CREDIT CRD EPAY
2025-02-12,16:15:37,3552.35,Deposit,BOSTON CHILDREN' DIR DEP
2025-02-12,00:54:07,-229.71,Withdrawal,SAFETY INSURANCE INS PREMIU~ Future Amount: 229.71 ~ Tran: ACHDW
2025-02-10,05:35:32,-144.00,Withdrawal,VENMO PAYMENT
2025-02-10,02:47:17,-10.00,Withdrawal,VENMO PAYMENT
2025-02-08,23:22:16,0.25,Deposit,Interest Paid
2025-02-07,21:12:18,-2000.00,Withdrawal,Check Paid #1069
2025-02-07,10:35:46,-60.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-02-06,04:26:12,-10.00,Withdrawal,VENMO PAYMENT
2025-02-05,04:44:02,-35.00,Withdrawal,DISCOVER E-PAYMENT
2025-02-05,03:49:58,-50.00,Withdrawal,BEST BUY AUTO PYMT
2025-02-03,05:04:14,-10.00,Withdrawal,VENMO PAYMENT
2025-01-31,01:40:00,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-01-31,01:29:55,-1586.15,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 1586.15 ~ Tran: ACHDW
2025-01-31,01:29:47,-500.00,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 500 ~ Tran: ACHDW
2025-01-30,03:37:12,-6.38,Withdrawal,Rocket Money Premium
2025-01-29,16:16:12,3548.83,Deposit,BOSTON CHILDREN' DIR DEP
2025-01-28,16:03:17,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-01-26,13:25:04,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-01-25,14:18:26,-40.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-01-24,04:20:10,-40.00,Withdrawal,E-ZPass MA 8776277745
2025-01-24,04:14:00,-200.00,Withdrawal,HARVARD FCU OLB XFER
2025-01-23,05:26:06,-14.15,Withdrawal,BARCLAYCARD US CREDITCARD
2025-01-23,01:09:26,-108.68,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 108.68 ~ Tran: ACHDW
2025-01-21,16:08:34,-631.67,Withdrawal,CAPITAL ONE AUTO DIRECTPAY
2025-01-21,03:38:14,-10.00,Withdrawal,VENMO PAYMENT
2025-01-20,09:32:43,500.00,Deposit,Zelle payment from RITA MACDONALD to Daniel Macdonald (Ally Spending Account XXXXXX6284)
2025-01-18,20:52:06,-20.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-01-17,01:27:27,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-01-16,05:35:35,-808.30,Withdrawal,CHASE CREDIT CRD EPAY
2025-01-16,05:35:34,-286.00,Withdrawal,CHASE CREDIT CRD EPAY
2025-01-16,04:47:51,-10.00,Withdrawal,VENMO PAYMENT
2025-01-15,12:51:55,3555.89,Deposit,BOSTON CHILDREN' DIR DEP
2025-01-15,04:25:01,-129.41,Withdrawal,FIDELITY FPRS
2025-01-15,03:33:36,-10.00,Withdrawal,VENMO PAYMENT
2025-01-14,04:33:21,-10.00,Withdrawal,VENMO PAYMENT
2025-01-13,05:38:06,-229.71,Withdrawal,SAFETY INSURANCE INS PREMIU
2025-01-13,02:41:13,-10.00,Withdrawal,VENMO PAYMENT
2025-01-11,18:42:20,-40.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-01-08,23:35:13,0.17,Deposit,Interest Paid
2025-01-06,23:18:57,-2000.00,Withdrawal,Check Paid #1083
2025-01-06,06:20:33,-35.00,Withdrawal,DISCOVER E-PAYMENT
2025-01-06,05:39:11,-50.00,Withdrawal,BEST BUY AUTO PYMT
2025-01-03,05:09:49,-2275.21,Withdrawal,CHASE CREDIT CRD EPAY
2025-01-03,01:47:44,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-01-02,16:08:37,2000.00,Deposit,Internet transfer from Savings account XXXXXX6299
2025-01-02,04:08:39,-3.00,Withdrawal,VENMO PAYMENT
2024-12-31,17:55:01,3590.27,Deposit,BOSTON CHILDREN' DIR DEP
2024-12-30,05:18:57,-6.38,Withdrawal,Rocket Money Premium
2024-12-27,03:13:19,-200.00,Withdrawal,HARVARD FCU OLB XFER
2024-12-24,04:20:21,-25.00,Withdrawal,VENMO PAYMENT
2024-12-23,05:33:23,-29.00,Withdrawal,BARCLAYCARD US CREDITCARD
2024-12-23,05:28:18,-1.00,Withdrawal,VENMO PAYMENT
2024-12-23,03:55:34,-631.67,Withdrawal,CAPITAL ONE AUTO DIRECTPAY
2024-12-23,00:40:02,-92.86,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 92.86 ~ Tran: ACHDW
2024-12-21,19:38:02,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-12-20,01:26:33,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2024-12-20,01:08:44,-655.63,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 655.63 ~ Tran: ACHDW
2024-12-20,01:00:31,-655.38,Withdrawal,Synchrony Bank CC PYMT~ Future Amount: 655.38 ~ Tran: ACHDW
2024-12-19,05:20:23,-175.96,Withdrawal,WELLS FARGO CARD CCPYMT
2024-12-18,16:09:58,3587.76,Deposit,BOSTON CHILDREN' DIR DEP
2024-12-17,01:08:17,-130.54,Withdrawal,NGRID06 NGRID06~ Future Amount: 130.54 ~ Tran: ACHDW
2024-12-16,06:12:32,-444.00,Withdrawal,VENMO PAYMENT
2024-12-16,04:22:46,-129.41,Withdrawal,FIDELITY FPRS
2024-12-15,18:01:37,1000.00,Deposit,Internet transfer from Savings account XXXXXX6299
2024-12-12,03:40:21,-30.00,Withdrawal,VENMO PAYMENT
2024-12-12,00:57:26,-229.71,Withdrawal,SAFETY INSURANCE INS PREMIU~ Future Amount: 229.71 ~ Tran: ACHDW
2024-12-09,09:23:23,-3000.00,Withdrawal,Internet transfer to Savings account XXXXXX6299
2024-12-09,05:45:56,-20.64,Withdrawal,WF PL CC PAYMENT PAYMENT
2024-12-08,23:23:48,0.38,Deposit,Interest Paid
2024-12-07,13:36:03,-125.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-12-06,05:41:44,-380.11,Withdrawal,DISCOVER E-PAYMENT
2024-12-06,02:22:33,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2024-12-06,02:02:53,-1209.19,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 1209.19 ~ Tran: ACHDW
2024-12-05,23:13:35,-2000.00,Withdrawal,Check Paid #1068
2024-12-05,04:25:59,-35.00,Withdrawal,DISCOVER E-PAYMENT
2024-12-05,03:38:31,-50.00,Withdrawal,BEST BUY AUTO PYMT
2024-12-04,12:52:17,3587.76,Deposit,BOSTON CHILDREN' DIR DEP
2024-12-02,12:50:56,-631.67,Withdrawal,CAPITAL ONE AUTO CARPAY
2024-12-02,05:56:16,-6.38,Withdrawal,Rocket Money Premium
2024-12-02,02:55:58,-200.00,Withdrawal,HARVARD FCU OLB XFER
2024-11-29,03:50:40,-3.00,Withdrawal,VENMO PAYMENT
2024-11-27,04:31:37,-11.99,Withdrawal,"Spotify USA 45 W. 18th Street New York, NY, US"
2024-11-26,06:02:28,-44.00,Withdrawal,VENMO PAYMENT
2024-11-25,05:20:33,-3.00,Withdrawal,VENMO PAYMENT
2024-11-25,02:55:53,-29.00,Withdrawal,BARCLAYCARD US CREDITCARD
2024-11-23,16:12:11,-20.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-11-23,16:08:07,-25.00,Withdrawal,"CASH APP*EBI WADI 1455 Market Street San Francisco, CA, US"
2024-11-22,01:23:03,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2024-11-22,01:14:49,-709.58,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 709.58 ~ Tran: ACHDW
2024-11-21,01:57:06,-86.70,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 86.7 ~ Tran: ACHDW
2024-11-20,16:14:40,3967.61,Deposit,BOSTON CHILDREN' DIR DEP
2024-11-19,01:40:23,-43.30,Withdrawal,NGRID06 NGRID06~ Future Amount: 43.3 ~ Tran: ACHDW
2024-11-15,04:23:03,-129.41,Withdrawal,FIDELITY FPRS
2024-11-13,01:23:13,-873.75,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 873.75 ~ Tran: ACHDW
2024-11-12,05:31:02,-229.71,Withdrawal,SAFETY INSURANCE INS PREMIU
2024-11-12,04:02:31,-20.64,Withdrawal,WF PL CC PAYMENT PAYMENT
2024-11-09,16:12:40,-40.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-11-08,23:33:17,0.27,Deposit,Interest Paid
2024-11-08,01:27:56,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2024-11-06,12:53:22,3461.21,Deposit,BOSTON CHILDREN' DIR DEP
2024-11-06,04:15:16,-200.00,Withdrawal,Synchrony Bank CC PYMT
2024-11-05,04:55:10,-35.00,Withdrawal,DISCOVER E-PAYMENT
2024-11-05,03:53:23,-50.00,Withdrawal,BEST BUY AUTO PYMT
2024-11-04,23:21:13,-2000.00,Withdrawal,Check Paid #1082
2024-11-01,03:49:51,-200.00,Withdrawal,HARVARD FCU OLB XFER
2024-10-31,01:11:05,-2017.09,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 2017.09 ~ Tran: ACHDW
2024-10-30,10:56:17,1500.00,Deposit,Internet transfer from Savings account XXXXXX6299
2024-10-30,05:13:37,-3.00,Withdrawal,VENMO PAYMENT
2024-10-30,03:08:16,-6.38,Withdrawal,Rocket Money Premium
2024-10-29,03:01:09,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-28,04:02:24,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-28,04:02:24,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-27,05:11:07,-11.99,Withdrawal,"Spotify USA 45 W. 18th Street New York, NY, US"
2024-10-25,01:22:52,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2024-10-24,05:22:29,-3.00,Withdrawal,VENMO PAYMENT
2024-10-23,12:58:06,3461.22,Deposit,BOSTON CHILDREN' DIR DEP
2024-10-23,03:31:25,-29.00,Withdrawal,BARCLAYCARD US CREDITCARD
2024-10-22,03:54:27,-631.67,Withdrawal,CAPITAL ONE AUTO CARPAY
2024-10-22,01:12:42,-74.04,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 74.04 ~ Tran: ACHDW
2024-10-21,05:16:38,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-21,03:46:21,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-20,12:07:05,1000.00,Deposit,Zelle payment from RITA MACDONALD to Daniel Macdonald (Ally Spending Account XXXXXX6284)
2024-10-18,05:28:53,-4.00,Withdrawal,VENMO PAYMENT
2024-10-18,03:11:45,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-17,03:32:04,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-17,03:26:15,-2.00,Withdrawal,VENMO PAYMENT
2024-10-17,01:05:39,-22.59,Withdrawal,NGRID06 NGRID06~ Future Amount: 22.59 ~ Tran: ACHDW
2024-10-16,04:29:21,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-15,06:06:44,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-15,06:06:44,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-10-15,05:14:21,-35.00,Withdrawal,VENMO PAYMENT
2024-10-15,03:40:34,-129.41,Withdrawal,FIDELITY FPRS
2024-10-15,00:38:25,-293.83,Withdrawal,SAFETY INSURANCE INS PREMIU~ Future Amount: 293.83 ~ Tran: ACHDW
2024-10-12,15:04:58,-40.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-10-12,11:18:52,-40.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-10-12,00:54:14,-60.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-10-11,15:26:42,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-10-11,02:17:02,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2024-10-11,01:57:17,-1824.81,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 1824.81 ~ Tran: ACHDW
2024-10-09,16:10:22,3461.19,Deposit,BOSTON CHILDREN' DIR DEP
2024-10-09,07:06:03,-20.64,Withdrawal,WF PL CC PAYMENT PAYMENT
2024-10-08,23:32:32,0.33,Deposit,Interest Paid
2024-10-07,03:31:31,-35.00,Withdrawal,DISCOVER E-PAYMENT
2024-10-07,03:29:10,-3.00,Withdrawal,VENMO PAYMENT
2024-10-07,03:00:57,-50.00,Withdrawal,BEST BUY AUTO PYMT
2024-10-04,04:01:56,-200.00,Withdrawal,HARVARD FCU OLB XFER
2024-10-02,03:39:57,-2934.14,Withdrawal,CHASE CREDIT CRD EPAY
2024-09-30,23:18:13,-2000.00,Withdrawal,Check Paid #1081
2024-09-30,05:27:01,-6.38,Withdrawal,Rocket Money Premium
2024-09-27,04:52:18,-80.00,Withdrawal,VENMO PAYMENT
2024-09-27,04:11:22,-11.99,Withdrawal,"Spotify USA 45 W. 18th Street New York, NY, US"
2024-09-27,01:38:26,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2024-09-25,16:11:34,3460.45,Deposit,BOSTON CHILDREN' DIR DEP
2024-09-23,02:35:31,164.00,Deposit,VENMO CASHOUT
2024-09-23,00:35:19,-1016.02,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 1016.02 ~ Tran: ACHDW
2024-09-20,18:04:04,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-09-20,01:08:19,-150.00,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 150 ~ Tran: ACHDW
2024-09-19,03:41:17,-10.00,Withdrawal,E-ZPass MA 8776277745
2024-09-18,03:05:01,-200.00,Withdrawal,Synchrony Bank CC PYMT
